Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100001,Male,No,0,Not Graduate,No,5029.0,0,438.0,360,1.0,Semiurban,N
LP100002,Male,Yes,0,Not Graduate,Yes,21082.0,0,56.0,240,1.0,Urban,Y
LP100003,Male,No,3+,Not Graduate,No,16877.0,0,362.0,240,1.0,Urban,Y
LP100004,Male,No,3+,Not Graduate,No,13772.0,0,235.0,120,1.0,Rural,Y
LP100005,Female,No,2,Graduate,Yes,20708.0,0,63.0,240,0.0,Semiurban,N
LP100006,Female,Yes,3+,Graduate,Yes,19076.0,8282,,120,0.0,Urban,N
LP100007,Female,No,0,Graduate,Yes,18222.0,0,134.0,300,,Rural,N
LP100008,Female,No,3+,Graduate,No,15068.0,0,217.0,300,0.0,Rural,N
LP100009,Male,No,2,Graduate,No,14255.0,0,597.0,240,0.0,Rural,N
LP100010,Female,Yes,2,Not Graduate,No,11455.0,0,212.0,360,1.0,Rural,Y
LP100011,Female,Yes,2,Graduate,No,18090.0,0,379.0,240,1.0,Urban,Y
LP100012,Male,Yes,2,Graduate,Yes,21164.0,0,399.0,360,0.0,Rural,N
LP100013,Male,No,3+,Not Graduate,No,8844.0,0,674.0,120,1.0,Semiurban,Y
LP100014,Female,No,2,Not Graduate,Yes,16214.0,0,235.0,300,0.0,Semiurban,N
LP100015,Female,No,0,Not Graduate,Yes,10197.0,0,106.0,300,0.0,Rural,N
LP100016,Female,Yes,3+,Not Graduate,,19940.0,0,304.0,300,1.0,Semiurban,Y
LP100017,Male,No,0,Not Graduate,Yes,12177.0,0,662.0,120,1.0,Rural,Y
LP100018,Male,No,3+,Graduate,Yes,9802.0,0,476.0,240,1.0,Urban,Y
LP100019,Male,Yes,2,Not Graduate,No,8844.0,0,155.0,300,1.0,Urban,Y
LP100020,Female,Yes,0,Not Graduate,No,18450.0,0,555.0,180,0.0,Urban,N
LP100021,Female,Yes,0,Not Graduate,No,19421.0,0,302.0,300,1.0,Urban,Y
LP100022,Male,No,1,Not Graduate,Yes,15075.0,4638,450.0,360,0.0,Semiurban,N
LP100023,Female,Yes,1,Graduate,No,13063.0,0,505.0,360,1.0,Semiurban,Y
LP100024,Male,No,0,Graduate,,7391.0,0,536.0,180,0.0,Urban,N
LP100025,Female,No,1,Not Graduate,Yes,,0,522.0,120,0.0,Rural,N
LP100026,Male,Yes,3+,Not Graduate,Yes,4429.0,0,348.0,240,1.0,Semiurban,Y
LP100027,Male,No,1,Graduate,Yes,21314.0,0,480.0,360,1.0,Semiurban,Y
LP100028,Female,No,0,Not Graduate,Yes,22687.0,0,437.0,180,1.0,Semiurban,Y
LP100029,Female,Yes,1,Graduate,No,,13747,340.0,360,0.0,Semiurban,Y
LP100030,Male,Yes,2,Graduate,Yes,5968.0,0,326.0,120,0.0,Semiurban,N
LP100031,Female,Yes,0,Not Graduate,No,22405.0,0,500.0,180,0.0,Urban,N
LP100032,Female,No,1,Graduate,No,1511.0,0,295.0,120,1.0,Urban,Y
LP100033,Female,No,0,Graduate,Yes,20143.0,0,632.0,120,0.0,Semiurban,N
LP100034,Male,No,2,Graduate,No,8445.0,0,482.0,120,0.0,Urban,N
LP100035,Male,No,3+,Not Graduate,Yes,,2469,93.0,360,1.0,Rural,Y
LP100036,Male,Yes,3+,Not Graduate,No,,0,464.0,300,0.0,Urban,N
LP100037,Female,No,3+,Not Graduate,No,14966.0,0,596.0,360,0.0,Urban,N
LP100038,Male,No,1,Not Graduate,Yes,13678.0,5853,432.0,240,1.0,Urban,Y
LP100039,Female,No,1,Graduate,Yes,9086.0,10401,189.0,360,0.0,Semiurban,Y
LP100040,Female,No,2,Not Graduate,No,12570.0,12077,230.0,180,0.0,Rural,N
LP100041,Female,Yes,1,Graduate,Yes,23961.0,12237,233.0,360,0.0,Rural,Y
LP100042,Male,No,1,Not Graduate,No,23674.0,9272,280.0,120,1.0,Rural,Y
LP100043,Female,Yes,2,Not Graduate,No,1974.0,0,411.0,240,1.0,Urban,N
LP100044,Female,Yes,0,Graduate,Yes,22909.0,0,530.0,300,0.0,Semiurban,N
LP100045,Female,Yes,2,Graduate,Yes,5369.0,0,579.0,120,1.0,Rural,Y
LP100046,Female,Yes,2,Not Graduate,No,5332.0,0,417.0,360,1.0,Urban,N
LP100047,Male,Yes,3+,Not Graduate,No,16159.0,0,474.0,120,0.0,Semiurban,N
LP100048,Female,No,0,Not Graduate,Yes,5467.0,1441,451.0,360,1.0,Urban,N
LP100049,Female,No,2,Graduate,Yes,21673.0,0,262.0,240,0.0,Rural,N
LP100050,Male,No,3+,Not Graduate,No,22027.0,8322,326.0,300,1.0,Urban,Y
LP100051,Female,No,1,Graduate,Yes,6776.0,12405,571.0,300,1.0,Rural,Y
LP100052,Female,Yes,3+,Graduate,No,16762.0,0,222.0,240,0.0,Urban,N
LP100053,Female,Yes,1,Not Graduate,Yes,20770.0,0,366.0,180,1.0,Urban,Y
LP100054,Female,Yes,0,Graduate,Yes,12884.0,0,228.0,300,1.0,Urban,Y
LP100055,Male,No,1,Graduate,No,7097.0,0,645.0,240,1.0,Urban,Y
LP100056,Male,Yes,1,Not Graduate,No,18073.0,0,212.0,360,0.0,Urban,N
LP100057,Male,No,3+,Graduate,Yes,21829.0,0,324.0,240,1.0,Semiurban,Y
LP100058,Male,No,2,Not Graduate,Yes,7578.0,0,566.0,120,1.0,Rural,N
LP100059,Female,Yes,3+,Not Graduate,No,5312.0,12412,541.0,240,1.0,Urban,Y
LP100060,Male,Yes,0,Not Graduate,No,16252.0,8330,204.0,180,0.0,Urban,N
LP100061,Male,No,2,Not Graduate,Yes,9966.0,0,454.0,360,1.0,Rural,Y
LP100062,Male,Yes,2,Not Graduate,No,,1061,394.0,300,0.0,Urban,N
LP100063,Male,Yes,1,Graduate,No,14650.0,9963,107.0,300,1.0,Semiurban,Y
LP100064,Male,No,2,Graduate,No,,0,518.0,360,1.0,Rural,Y
LP100065,Male,No,0,Not Graduate,Yes,7824.0,0,117.0,120,1.0,Rural,Y
LP100066,Female,Yes,1,Graduate,Yes,23247.0,0,691.0,240,1.0,Semiurban,Y
LP100067,Male,Yes,2,Graduate,No,4985.0,11107,107.0,120,1.0,Rural,Y
LP100068,Female,Yes,1,Graduate,No,22533.0,0,503.0,360,1.0,Urban,Y
LP100069,Female,No,2,Not Graduate,Yes,,0,186.0,180,1.0,Rural,Y
LP100070,Male,No,0,Graduate,Yes,7108.0,0,318.0,180,1.0,Urban,Y
LP100071,Male,Yes,1,Graduate,Yes,3260.0,0,395.0,180,1.0,Semiurban,Y
